,date,tweet_processed,tweet,ZLabel,favorites,geo,hashtags,id,mentions,new,permalink,retweets,username,Lang,Tweet text processed,pred,pred_raw
251,04-11-2019 14:42,"someone tell this that if he can’t respect the law of the land of obeying #oddeven scheme, he is free to go obey pakistan’s law........in pakistan #letsuniteagainstpollution #oddevendobara #oddevenscheme","Someone tell this @ Vijaygoelbjp that if he can’t respect the law of the land of obeying # OddEven scheme, he is free to go obey Pakistan’s law........in Pakistan # LetsUniteAgainstPollution # OddEvenDobara # oddevenscheme",0,1.0,,# # # #,1.19e+18,@,,https://twitter.com/DadaThaakur/status/1191282002437083136,0.0,DadaThaakur,en,"someone tell this that if he can’t respect the law of the land of obeying #oddeven scheme, he is free to go obey pakistan’s law........in pakistan #letsuniteagainstpollution #oddevendobara #oddevenscheme",0,0.9972250461578369
254,04-11-2019 18:21,"people will always own it up, you politicians only keep blaming others always #pollution #pollutionkasolution #oddeven","People will always own it up, you politicians only keep blaming others always # Pollution # PollutionKaSolution # OddEven",0,0.0,,# # #,1.19e+18,,,https://twitter.com/MannarKhan/status/1191337233401303043,0.0,MannarKhan,en,"people will always own it up, you politicians only keep blaming others always #pollution #pollutionkasolution #oddeven",-1,0.9979082345962524
256,04-11-2019 18:28,what's d point of being environment frndly & buying a private cng car? spending hrs to get d fuel only 2 find out that we aren't even exempted in d odd-even rule pvt cng vehicle shud also b exempted frm ths rule since they dnt contribute 2 the pollution. #oddeven,@ ArvindKejriwal what's d point of being environment frndly & buying a Private CNG car? Spending hrs to get d fuel only 2 find out that we aren't even exempted in d odd-even rule Pvt CNG Vehicle shud also b exempted frm ths rule since they dnt contribute 2 the pollution. # OddEven,0,1.0,,#,1.19e+18,@,,https://twitter.com/aakash1704/status/1191338969704755206,0.0,aakash1704,en,what's d point of being environment frndly & buying a private cng car? spending hrs to get d fuel only 2 find out that we aren't even exempted in d odd-even rule pvt cng vehicle shud also b exempted frm ths rule since they dnt contribute 2 the pollution. #oddeven,0,0.9653231501579285
257,04-11-2019 14:47,political leaders are supposed to lead by example. is this the example the leader is expecting us to follow? any comments #chaos #oddeven #pollution #health #mondaymotivation #responsibility #leadership #vijaygoel …,Political leaders are supposed to lead by example. Is this the example the @ BJP4India leader is expecting us to follow? Any comments @ narendramodi @ PMOIndia? # Chaos # OddEven # Pollution # Health # MondayMotivation # responsibility # leadership @ AmitShah @ AmitShahOffice # VijayGoelhttps://twitter.com/tanvishukla/status/1191281847021506560 …,0,0.0,,# # # # # # # #,1.19e+18,@ @ @ @ @,,https://twitter.com/DepositorPmcb/status/1191283192470355969,1.0,DepositorPmcb,en,political leaders are supposed to lead by example. is this the example the leader is expecting us to follow? any comments #chaos #oddeven #pollution #health #mondaymotivation #responsibility #leadership #vijaygoel …,0,0.9970834851264954
262,04-11-2019 12:12,what central government did to control pollution. your own environmental minister cancel the meeting three times. isn't this is a big joke with people of delhi? #delhiairemergency #oddeven,What central government did to control pollution. Your own environmental minister cancel the meeting three times. Isn't this is a big joke with people of Delhi? # DelhiAirEmergency # OddEven,0,7.0,,# #,1.19e+18,,,https://twitter.com/pagla_poet/status/1191244307052654592,5.0,pagla_poet,en,what central government did to control pollution. your own environmental minister cancel the meeting three times. isn't this is a big joke with people of delhi? #delhiairemergency #oddeven,-1,0.9982094764709473
263,13-11-2019 22:25,#delhiairpollution #delhischools #delhischoolshut #delhischoolclosed #pollution #oddeven #arariatimes #kejriwal #delhiairpollution #pollutionlevels … دہلی میں فضائی آلودگی کاقہر،15نومبرتک سبھی اسکول بند,# DelhiAirPollution # DelhiSchools # DelhiSchoolShut # DelhiSchoolClosed # Pollution # OddEven # ArariaTimes # Kejriwal # DelhiAirPollution # PollutionLevels @ AamAadmiParty @ msisodia http://www.arariatimes.com/national/delhi-schools-to-be-shut-till15-nov-2019-due-to-rising-pollution-levels/ … دہلی میں فضائی آلودگی کاقہر،15نومبرتک سبھی اسکول بندpic.twitter.com/GRDTD4c58f,0,0.0,,# # # # # # # # # #,1.19e+18,@ @,True,https://twitter.com/TimesAraria/status/1194660079921848325,0.0,TimesAraria,en,#delhiairpollution #delhischools #delhischoolshut #delhischoolclosed #pollution #oddeven #arariatimes #kejriwal #delhiairpollution #pollutionlevels … دہلی میں فضائی آلودگی کاقہر،15نومبرتک سبھی اسکول بند,0,0.9987081289291382
265,04-11-2019 18:04,grow more plants to save our city #delhi #bhopal #polution #green #environment #delhincrpollution #oddeven #gogreen #climatechange #saveearth #saveplants #plants bhopalwasiyo bhopal_club …,Grow more plants to save our city # delhi # bhopal # polution # green # environment # delhincrpollution # oddeven # gogreen # climatechange # saveearth # saveplants # plants bhopalwasiyo bhopal_club @ wassupbhopal… https://www.instagram.com/p/B4cZUvinhc-/?igshid=1vepeh83he85p …,0,1.0,,# # # # # # # # # # # #,1.19e+18,@,,https://twitter.com/NurseryNisarga/status/1191332865319067654,0.0,NurseryNisarga,en,grow more plants to save our city #delhi #bhopal #polution #green #environment #delhincrpollution #oddeven #gogreen #climatechange #saveearth #saveplants #plants bhopalwasiyo bhopal_club …,1,0.9989921450614929
269,04-11-2019 16:37,#oddeven scheme kicks start in delhi today and the government is expecting 15 lakh cars to be off delhi roads. details here. …,# OddEven scheme kicks start in Delhi today and the government is expecting 15 lakh cars to be off Delhi roads. Details here. https://auto.ndtv.com/news/odd-even-rule-kicks-off-today-15-lakh-cars-off-delhi-roads-2127077 …,0,25.0,,#,1.19e+18,,,https://twitter.com/carandbike/status/1191310926852456448,5.0,carandbike,en,#oddeven scheme kicks start in delhi today and the government is expecting 15 lakh cars to be off delhi roads. details here. …,0,0.9787525534629822
271,04-11-2019 17:11,"really fed up with this #oddeven political drama, if you care then say no to candle for xmas","Really fed up with this # oddeven political drama, if you care then say no to candle for xmas pic.twitter.com/UWCXy8GjsO",0,0.0,,#,1.19e+18,,,https://twitter.com/chanakyadgreat/status/1191319637130014721,0.0,chanakyadgreat,en,"really fed up with this #oddeven political drama, if you care then say no to candle for xmas",-1,0.9196099042892456
287,04-11-2019 14:19,#supremecourt on #airpollution: ' #delhi is choking every year and we are not able to do anything. #oddeven #oddevenscheme #oddevendobara #delhismog #delhichokes,# SupremeCourt on # AirPollution: ' # Delhi is choking every year and we are not able to do anything. # OddEven # OddEvenScheme # OddEvenDobara # DelhiSmog # DelhiChokespic.twitter.com/cBBaDKerai,0,3.0,,# # # # # # # #,1.19e+18,,,https://twitter.com/NedrickExpress/status/1191276218730967042,0.0,NedrickExpress,en,#supremecourt on #airpollution: ' #delhi is choking every year and we are not able to do anything. #oddeven #oddevenscheme #oddevendobara #delhismog #delhichokes,-1,0.9976264834403992
292,04-11-2019 10:37,by quirk of fate i have one odd numbered car and one even numbered car so that i can play out this tuqhlaqian charade with a degree of ease and irony. #oddeven,By quirk of fate I have one odd numbered car and one even numbered car so that I can play out this Tuqhlaqian charade with a degree of ease and irony. # OddEven,0,87.0,,#,1.19e+18,,,https://twitter.com/TweetinderKaul/status/1191220393752715265,15.0,TweetinderKaul,en,by quirk of fate i have one odd numbered car and one even numbered car so that i can play out this tuqhlaqian charade with a degree of ease and irony. #oddeven,1,0.9231528639793396
304,07-11-2019 19:59,even numbered cars waiting for clock to turn 8 so they could enter delhi. #oddeven #oddevendays,Even numbered cars waiting for clock to turn 8 so they could enter delhi. # oddeven # oddevendayspic.twitter.com/6aDcCTQvTl,0,0.0,,# #,1.19e+18,,,https://twitter.com/jan_nayak17/status/1192449087204970500,0.0,jan_nayak17,en,even numbered cars waiting for clock to turn 8 so they could enter delhi. #oddeven #oddevendays,0,0.9847859740257263
309,04-11-2019 10:54,"the odd-even road rationing scheme kicks in from 8 a.m. today in delhi, with cm urging people to follow it for the sake of their family and kids #oddeven #delhipollution","The odd-even road rationing scheme kicks in from 8 a.m. today in Delhi, with CM @ ArvindKejriwal urging people to follow it for the sake of their family and kids # OddEven # DelhiPollutionhttp://bit.ly/2JJ8Ek8",0,3.0,,# #,1.19e+18,@,,https://twitter.com/JuniorLohia/status/1191224762485358592,0.0,JuniorLohia,en,"the odd-even road rationing scheme kicks in from 8 a.m. today in delhi, with cm urging people to follow it for the sake of their family and kids #oddeven #delhipollution",0,0.9541180729866028
311,04-11-2019 12:47,"bjp leader vijay goel steps out in odd-numbered car, says ready to pay fine for more updates on #oddeven:","BJP leader Vijay Goel steps out in odd-numbered car, says ready to pay fine For more updates on # OddEven: http://bit.ly/34sOH96 pic.twitter.com/Qv06T01lVG",0,13.0,,#,1.19e+18,,,https://twitter.com/IndiaToday/status/1191253241255739393,3.0,IndiaToday,en,"bjp leader vijay goel steps out in odd-numbered car, says ready to pay fine for more updates on #oddeven:",0,0.9987653493881226
313,04-11-2019 12:14,this delhi couple’s mask-themed pre-wedding photo-shoot is a horrific reality of delhi which sits in a thick blanket of smog. hopefully the #oddeven & gois recent moves can change delhi/ncr's pollution to some extent. pray this beautiful city recovers soon #delhiairemergency,This Delhi couple’s mask-themed pre-wedding photo-shoot is a horrific reality of Delhi which sits in a thick blanket of smog. Hopefully the # OddEven & GOIs recent moves can change Delhi/NCR's pollution to some extent. Pray this beautiful city recovers soon # DelhiAirEmergencypic.twitter.com/SZvL4LEmJz,0,11.0,,# #,1.19e+18,,,https://twitter.com/FaraaahKhan/status/1191244686507118592,1.0,FaraaahKhan,en,this delhi couple’s mask-themed pre-wedding photo-shoot is a horrific reality of delhi which sits in a thick blanket of smog. hopefully the #oddeven & gois recent moves can change delhi/ncr's pollution to some extent. pray this beautiful city recovers soon #delhiairemergency,1,0.9992438554763794
326,19-11-2019 17:51,in a so called debate on a doctor's solution to #airpollution #oddeven must be extended and doctors must be exempted. #slowclap,In a so called debate on @ ndtvindia a Doctor's solution to # AirPollution # OddEven must be extended and Doctors must be exempted. # slowclappic.twitter.com/wbZCLMgELI,0,1.0,,# # #,1.2e+18,@,,https://twitter.com/logiccool/status/1196765527718236160,0.0,logiccool,,in a so called debate on a doctor's solution to #airpollution #oddeven must be extended and doctors must be exempted. #slowclap,0,0.9904932379722595
334,04-11-2019 16:59,12-day odd-even scheme in delhi comes into effect today #delhincrpollution #delhiairquality #oddeven …,12-day Odd-Even Scheme in Delhi comes into effect today # DelhiNCRPollution # DelhiAirQuality # OddEven http://english.mumbaiaaspaas.com/12-day-odd-even-scheme-in-delhi-comes-into-effect-today/ …pic.twitter.com/pIvdoEXhnN,0,0.0,,# # #,1.19e+18,,,https://twitter.com/MumaspsEng/status/1191316496615530498,0.0,MumaspsEng,en,12-day odd-even scheme in delhi comes into effect today #delhincrpollution #delhiairquality #oddeven …,0,0.9987586736679077
335,07-11-2019 21:07,life has it's own way of humbling you and then there is our own ek din bada car aur fir ek din biwi ka car #oddeven #oddevenscheme #thursdaywisdom,Life has it's own way of humbling you and then there is our own @ ArvindKejriwal Ek din Bada car aur fir ek din Biwi ka car # OddEven # oddevenscheme # ThursdayWisdom,0,1.0,,# # #,1.19e+18,@,,https://twitter.com/JaagteRahoBhai/status/1192466081648017409,0.0,JaagteRahoBhai,en,life has it's own way of humbling you and then there is our own ek din bada car aur fir ek din biwi ka car #oddeven #oddevenscheme #thursdaywisdom,1,0.9982917904853821
342,03-11-2019 15:34,"delhi #oddeven scheme starts tomorrow: check fines, penalty, exemptions, full details on 2019 aap govt rule …","Delhi # OddEven scheme starts tomorrow: Check fines, Penalty, exemptions, full details on 2019 AAP Govt rule https://www.businesstoday.in/latest/trends/delhi-odd-even-scheme-check-full-details-dates-fines-timings-rules-exemptions-road-rationing-pollution/story/388150.html …pic.twitter.com/JMRkDgtaUR",0,4.0,,#,1.19e+18,,,https://twitter.com/BT_India/status/1190932652968173568,0.0,BT_India,,"delhi #oddeven scheme starts tomorrow: check fines, penalty, exemptions, full details on 2019 aap govt rule …",0,0.9988480806350708
345,13-11-2019 22:40,"#oddeven returns after three-day break, 552 violators fined …","# OddEven returns after three-day break, 552 violators fined https://www.tribuneindia.com/news/nation/odd-even-returns-after-three-day-break-552-violators-fined/860283.html …",0,2.0,,#,1.19e+18,,,https://twitter.com/thetribunechd/status/1194663833714884608,0.0,thetribunechd,,"#oddeven returns after three-day break, 552 violators fined …",0,0.9980758428573608
346,04-11-2019 16:11,"justice arun mishra questions delhi government: what is the logic behind odd-even scheme? banning diesel vehicles we can understand, but what is the point of odd-even scheme. #oddeven #oddevenscheme","Justice Arun Mishra questions Delhi Government: What is the logic behind odd-even scheme? Banning diesel vehicles we can understand, but what is the point of odd-even scheme. # OddEven # oddevenscheme",0,19.0,,# #,1.19e+18,,,https://twitter.com/PBNS_India/status/1191304375584489472,3.0,PBNS_India,en,"justice arun mishra questions delhi government: what is the logic behind odd-even scheme? banning diesel vehicles we can understand, but what is the point of odd-even scheme. #oddeven #oddevenscheme",0,0.9986647367477417
350,03-11-2019 15:39,"come monday, #delhi will witness the third #oddeven car rationing scheme kick off, as the national capital is not only grappling for a dash of fresh air but the sight of a clear blue sky. photo: ians","Come Monday, # Delhi will witness the third # OddEven car rationing scheme kick off, as the national capital is not only grappling for a dash of fresh air but the sight of a clear blue sky. Photo: IANS pic.twitter.com/m2XcIeOoT1",0,0.0,,# #,1.19e+18,,,https://twitter.com/WeForNews/status/1190934010706317312,0.0,WeForNews,,"come monday, #delhi will witness the third #oddeven car rationing scheme kick off, as the national capital is not only grappling for a dash of fresh air but the sight of a clear blue sky. photo: ians",0,0.8239281177520752
357,05-11-2019 1:20,delhi chief minister urged people to follow the #oddeven scheme and make it successful. a look at 5 things to know …,Delhi chief minister @ ArvindKejriwal urged people to follow the # OddEven scheme and make it successful. A look at 5 things to know https://www.hindustantimes.com/india-news/odd-even-scheme-begins-in-delhi-s-battle-with-toxic-pollution-5-points/story-kgaOA1II76psyaro7v0pmI.html …,0,31.0,,#,1.19e+18,@,,https://twitter.com/htTweets/status/1191442490068480004,2.0,htTweets,en,delhi chief minister urged people to follow the #oddeven scheme and make it successful. a look at 5 things to know …,0,0.9100564122200012
359,03-11-2019 16:12,#oddeven: comprehensive curtain raiser,# OddEven: Comprehensive curtain raiser http://owl.li/hVA430pPdj1 pic.twitter.com/Rz2Q1w9Bch,0,0.0,,#,1.19e+18,,,https://twitter.com/BawaHS/status/1190942276907929602,0.0,BawaHS,,#oddeven: comprehensive curtain raiser,0,0.4948571026325226
365,01-11-2019 8:33,"#oddeven confusion and chaos. facing the same. so on even days, 6 parents will take out their 6 cars to pick and drop their kids instead of one van!! worrisome …","# OddEven confusion and chaos. Facing the same. So on even days, 6 parents will take out their 6 cars to pick and drop their kids instead of one van!! Worrisome https://twitter.com/brigkhush/status/1190096582416322560 …",0,1.0,,#,1.19e+18,,,https://twitter.com/singhpriyanka/status/1190102023737229317,0.0,singhpriyanka,,"#oddeven confusion and chaos. facing the same. so on even days, 6 parents will take out their 6 cars to pick and drop their kids instead of one van!! worrisome …",-1,0.8318368792533875
367,30-11-2019 13:32,. odd day : pic 1 even day : pic 2 #priyanka_reddy #oddeven #hyderabadhorror #riphumanity #hangrapists,. @ khanumarfa Odd day : Pic 1 Even day : Pic 2 # Priyanka_Reddy # oddeven # HyderabadHorror # RIPHumanity # HangRapistspic.twitter.com/bvSpHrw9yh,0,2.0,,# # # # #,1.2e+18,@,,https://twitter.com/Ashishk733Kumar/status/1200686400691027968,1.0,Ashishk733Kumar,,. odd day : pic 1 even day : pic 2 #priyanka_reddy #oddeven #hyderabadhorror #riphumanity #hangrapists,0,0.9988545179367065
373,13-11-2019 16:33,"ji thanos was the first one to propose and implement #oddeven rule. if only i would have consulted you, i could have enforced 50% population on even days and other half on odd days rather than snapping one half away permanently. pls follow 2 avoid future mistakes","@ ArvindKejriwal ji Thanos was the first one to propose and implement # oddeven rule. If only I would have consulted you, I could have enforced 50% population on even days and other half on odd days rather than snapping one half away permanently. Pls follow 2 avoid future mistakes",0,1.0,,#,1.19e+18,@,,https://twitter.com/kabirazad2017/status/1194571439900282882,0.0,kabirazad2017,en,"ji thanos was the first one to propose and implement #oddeven rule. if only i would have consulted you, i could have enforced 50% population on even days and other half on odd days rather than snapping one half away permanently. pls follow 2 avoid future mistakes",1,0.8619360327720642
377,10-11-2019 18:05,"for this situation best option is , have a visit the store and purchase a e-cycle. #eventheodds #contestalert #contest #contesindia #oddeven #delhioddeven #ridethecharge","For this situation best option is , have a visit the store and purchase a E-Cycle. # EvenTheOdds # ContestAlert # Contest # ContesIndia # OddEven # DelhiOddEven # RideTheCharge @ LectroECycles",0,0.0,,# # # # # # #,1.19e+18,@,,https://twitter.com/TapooNayak/status/1193507358032285696,0.0,TapooNayak,en,"for this situation best option is , have a visit the store and purchase a e-cycle. #eventheodds #contestalert #contest #contesindia #oddeven #delhioddeven #ridethecharge",0,0.7181264758110046
384,08-11-2019 12:42,does #oddeven not apply on cycle? ????? justasking.,Does # OddEven not apply on cycle? ????? Justasking.,0,0.0,,#,1.19e+18,,,https://twitter.com/MrASHaider/status/1192701356722675712,0.0,MrASHaider,en,does #oddeven not apply on cycle? ????? justasking.,0,0.9988529682159424
387,13-11-2019 13:15,delhi set to face another peak pollution season at the end of this year. researchers at iit delhi find peak pollution solution likely to take place from december 30 to january 5. possible to have another #oddeven then? my report for …,Delhi set to face another peak pollution season at the end of this year. Researchers at IIT Delhi find peak pollution solution likely to take place from December 30 to January 5. Possible to have another # OddEven then? My report for @ TOIDelhihttps://timesofindia.indiatimes.com/city/delhi/IIT-Delhi-study-finds-another-peak-pollution-season-in-city/articleshow/72030400.cms …,0,12.0,,#,1.19e+18,@,,https://twitter.com/Ibrar_TOI/status/1194521677998067712,5.0,Ibrar_TOI,en,delhi set to face another peak pollution season at the end of this year. researchers at iit delhi find peak pollution solution likely to take place from december 30 to january 5. possible to have another #oddeven then? my report for …,1,0.5176833271980286
389,13-11-2019 21:36,#delhipollution #delhismog #pollution #airpurifier #airfilter #airpollution #pollutioncontrol #maharashtragovernments #dillikisardi #weddingseason #noshavednovember #oddeven #pollutionlevel #cropburning #airquality #airqualityindex #indoorairquality #delhiairpollution,# delhipollution # delhismog # pollution # airpurifier # airfilter # airpollution # pollutioncontrol # maharashtragovernments # dillikisardi # weddingseason # noshavednovember # oddeven # pollutionlevel # cropburning # airquality # airqualityindex # indoorairquality # DelhiAirPollutionpic.twitter.com/lAUmzQK1al,0,1.0,,# # # # # # # # # # # # # # # # # #,1.19e+18,,,https://twitter.com/hullaard/status/1194647694557319169,0.0,hullaard,en,#delhipollution #delhismog #pollution #airpurifier #airfilter #airpollution #pollutioncontrol #maharashtragovernments #dillikisardi #weddingseason #noshavednovember #oddeven #pollutionlevel #cropburning #airquality #airqualityindex #indoorairquality #delhiairpollution,0,0.9985142350196838
390,20-11-2019 08:11,"sir, do you think odd-even is gimmick ? please explain how ? i request please give logical reasoning when you reply. #delhiairemergency #delhincrpollution #delhi #oddevenscheme #oddeven #carpoolsupporter #carpooling","@ GautamGambhir Sir, Do you think ODD-EVEN is Gimmick ? Please explain how ? I request please give logical reasoning when you reply. # DelhiAirEmergency # DelhiNCRPollution # Delhi # oddevenscheme # OddEven # CarpoolSupporter # Carpooling",0,0.0,,# # # # # # #,1.2e+18,@,,https://twitter.com/RajkumarMundel/status/1196981776175923200,0.0,RajkumarMundel,,"sir, do you think odd-even is gimmick ? please explain how ? i request please give logical reasoning when you reply. #delhiairemergency #delhincrpollution #delhi #oddevenscheme #oddeven #carpoolsupporter #carpooling",0,0.7342231273651123
392,18-11-2019 12:28,"after supreme court said that #oddeven no solution, announces that odd-even won't be extended in delhi","After Supreme Court said that # OddEven no solution, @ ArvindKejriwal announces that Odd-Even won't be extended in Delhi",0,5.0,,#,1.2e+18,@,,https://twitter.com/Wangu_News18/status/1196321868023599104,1.0,Wangu_News18,,"after supreme court said that #oddeven no solution, announces that odd-even won't be extended in delhi",0,0.9980676770210266
396,15-11-2019 23:34,what the others have to say about #oddeven scheme. #delhiairquality #delhincrpollution #delhiairpollution #oddevenscheme …,What the others have to say about # OddEven scheme. # DelhiAirQuality # DelhiNCRPollution # DelhiAirPollution # oddevenschemehttps://twitter.com/SkymetAQI/status/1195401543970803712 …,0,0.0,,# # # # #,1.2e+18,,,https://twitter.com/iSinghRohit/status/1195402330687950848,0.0,iSinghRohit,,what the others have to say about #oddeven scheme. #delhiairquality #delhincrpollution #delhiairpollution #oddevenscheme …,0,0.9983634352684021
402,17-11-2019 14:50,"not against #oddeven scheme"", says manoj tiwari. …","Not against # OddEven scheme"", says Manoj Tiwari. https://www.ndtv.com/india-news/not-against-odd-even-scheme-says-manoj-tiwari-2133899 …pic.twitter.com/BNC0Qv4y37""",0,68.0,,#,1.2e+18,,,https://twitter.com/ndtv/status/1195995037680537600,8.0,ndtv,,"not against #oddeven scheme"", says manoj tiwari. …",-1,0.9694182872772217
429,06-11-2019 8:43,wow really looking so beautiful yes #oddeven rock,Wow really looking so beautiful Yes # OddEven rock,1,1.0,,#,1.19e+18,,,https://twitter.com/bhatvicky73/status/1191916461977219074,0.0,bhatvicky73,en,wow really looking so beautiful yes #oddeven rock,1,0.9992743134498596
441,05-11-2019 22:16,i request all of you to follow the #oddeven scheme. i will also follow it,I request all of you to follow the # OddEven scheme. I will also follow it,1,1.0,,# #,1.19e+18,@,,https://twitter.com/NAVINBANJARA/status/1191758765864783872,1.0,NAVINBANJARA,en,i request all of you to follow the #oddeven scheme. i will also follow it,1,0.9985201954841614
442,06-11-2019 8:18,odd even seems to be working. should be done more frequently. #letsuniteagainstpollution #oddeven #oddevenscheme,Odd even seems to be working. Should be done more frequently. # LetsUniteAgainstPollution # OddEven # oddevenscheme,1,0.0,,# # #,1.19e+18,,,https://twitter.com/akankshapanwar/status/1191910282878054400,0.0,akankshapanwar,en,odd even seems to be working. should be done more frequently. #letsuniteagainstpollution #oddeven #oddevenscheme,1,0.9992408752441406
447,04-11-2019 23:36,request to common man should support #oddeven rule because something is better than nothing.,Request to Common Man should support # OddEven rule because something is better than nothing.,1,0.0,,#,1.19e+18,,,https://twitter.com/vivek_pandey24/status/1191416413610639360,0.0,vivek_pandey24,en,request to common man should support #oddeven rule because something is better than nothing.,1,0.9979289770126343
448,04-11-2019 19:30,it’s a very positive step to take by delhi govt. for the public. we all respect to your decision and will follow the same with full support. #oddeven #letsuniteagainstpollution …,It’s a very positive step to take by Delhi Govt. for the public. we all respect to your decision and will follow the same with full support. # OddEven # LetsUniteAgainstPollutionhttps://twitter.com/Saurabh_MLAgk/status/1191206300534767617 …,1,0.0,,# #,1.19e+18,,,https://twitter.com/TheWeaversPune/status/1191354617587630080,0.0,TheWeaversPune,en,it’s a very positive step to take by delhi govt. for the public. we all respect to your decision and will follow the same with full support. #oddeven #letsuniteagainstpollution …,1,0.999305248260498
450,05-11-2019 1:25,delhi chief minister urged people to follow the #oddeven scheme and make it successful.,Delhi chief minister @ ArvindKejriwal urged people to follow the # OddEven scheme and make it successful.,1,2.0,,#,1.19e+18,@,,https://twitter.com/d2___desh/status/1191443914009403392,0.0,d2___desh,en,delhi chief minister urged people to follow the #oddeven scheme and make it successful.,1,0.9985899329185486
452,05-11-2019 9:27,pooling towards a better future! delhi indeed is in the state of environmental emergency and no step should be spared to cure this cancer. and all small steps matter! #oddeven,Pooling towards a better future! Delhi indeed is in the state of environmental emergency and no step should be spared to cure this cancer. And all small steps matter! # OddEven pic.twitter.com/q1YcMT8rhd,1,4.0,,#,1.19e+18,,,https://twitter.com/kanikahanda/status/1191565177260367872,0.0,kanikahanda,en,pooling towards a better future! delhi indeed is in the state of environmental emergency and no step should be spared to cure this cancer. and all small steps matter! #oddeven,1,0.9992289543151855
455,05-11-2019 12:09,"ultimately #oddeven is a one of action to reduce the #delhipollution . people has also welcome the move for better enviorment. but, instead of support to move few party leaders choose to only politicize it - sad. why can't all come together to fight against it ? #delhi","Ultimately # OddEven is a one of action to reduce the # DelhiPollution . People has also welcome the move for better enviorment. But, instead of support to move few party leaders choose to only politicize it - Sad. Why can't all come together to fight against it ? # Delhipic.twitter.com/3Ujxee8qQa",1,1.0,,# # #,1.19e+18,,True,https://twitter.com/HirenPawar1/status/1191606007647981569,0.0,HirenPawar1,en,"ultimately #oddeven is a one of action to reduce the #delhipollution . people has also welcome the move for better enviorment. but, instead of support to move few party leaders choose to only politicize it - sad. why can't all come together to fight against it ? #delhi",1,0.9732927680015564
472,13-11-2019 00:33,"for #oddeven look at this data. 400+ while diwali than smoke due to crop residue burning+ normal vehicle emission. nov 4: odd even effective, aqi reduced to half. 11,12: praksh parv relaxation, aqi become severe. still ppl blames odd even and declare it as failure","For # OddEven Look at this data. 400+ while diwali Than smoke due to crop residue burning+ normal vehicle emission. Nov 4: odd even effective, aqi reduced to half. 11,12: praksh parv relaxation, aqi become severe. Still ppl blames odd even and declare it as failure pic.twitter.com/dDN8c1eKOw",1,0.0,,#,1.19e+18,,,https://twitter.com/Voice_Opressed/status/1194330009177141249,0.0,Voice_Opressed,en,"for #oddeven look at this data. 400+ while diwali than smoke due to crop residue burning+ normal vehicle emission. nov 4: odd even effective, aqi reduced to half. 11,12: praksh parv relaxation, aqi become severe. still ppl blames odd even and declare it as failure",-1,0.998773992061615
477,04-11-2019 19:34,400 to 175 in one day. odd even effects are visible. kejriwal should do it for whole year not just 12 days. #oddeven,400 to 175 in one day. Odd even effects are visible. Kejriwal should do it for whole year not just 12 days. @ ArvindKejriwal # OddEven pic.twitter.com/b6uISCzSFy,1,0.0,,#,1.19e+18,@,,https://twitter.com/M4Messii/status/1191355628243111941,0.0,M4Messii,en,400 to 175 in one day. odd even effects are visible. kejriwal should do it for whole year not just 12 days. #oddeven,1,0.9990756511688232
483,04-11-2019 16:59,"a silver lining - some blue sky, even a bit of the moon! at ito #oddeven","A silver lining - some blue sky, even a bit of the moon! At ITO # OddEven pic.twitter.com/misU94BRWl",1,30.0,,#,1.19e+18,,,https://twitter.com/AmanKayamHai_ET/status/1191316659555819525,8.0,AmanKayamHai_ET,en,"a silver lining - some blue sky, even a bit of the moon! at ito #oddeven",1,0.9989411234855652
504,04-11-2019 12:35,and delhi has shown how to tackle pollution. #oddeven #letsuniteagainstpollution,And Delhi has shown how to tackle pollution. # OddEven # letsuniteagainstpollutionpic.twitter.com/YdUhPFmkXI,1,5.0,,# #,1.19e+18,,,https://twitter.com/abhijeet_dipke/status/1191249986798751744,8.0,abhijeet_dipke,en,and delhi has shown how to tackle pollution. #oddeven #letsuniteagainstpollution,1,0.999157190322876
506,04-11-2019 12:41,"i can make out from a distant place that #oddeven is a small contribution to deal with a large problem. now, sir, you and your colleagues are making it a centre versus state issue caring little about public health of millions of people …","@ VijayGoelBJP I can make out from a distant place that # OddEven is a small contribution to deal with a large problem. Now, Sir, you and your colleagues are making it a Centre versus State issue caring little about public health of millions of people https://twitter.com/ANI/status/1191248747302252545 …",1,0.0,,#,1.19e+18,@,,https://twitter.com/ZafarChoudhary_/status/1191251507162816512,0.0,ZafarChoudhary_,en,"i can make out from a distant place that #oddeven is a small contribution to deal with a large problem. now, sir, you and your colleagues are making it a centre versus state issue caring little about public health of millions of people …",-1,0.9002575278282166
507,04-11-2019 13:01,"cm everyday 30 lakh cars ply on roads, and due to this #oddevenscheme, atleast 15 lakh cars will be off the roads. so yes this will help in lowering pollution levels. #oddeven #arvindkejriwal #delhi #delhipollution","CM @ ArvindKejriwal: Everyday 30 lakh cars ply on roads, and due to this # oddevenscheme, atleast 15 lakh cars will be off the roads. so yes this will help in lowering pollution levels. # OddEven # ArvindKejriwal # Delhi # DelhiPollutionpic.twitter.com/MZewHn4i6e",1,2.0,,# # # # #,1.19e+18,@,,https://twitter.com/NedrickExpress/status/1191256612846964737,0.0,NedrickExpress,en,"cm everyday 30 lakh cars ply on roads, and due to this #oddevenscheme, atleast 15 lakh cars will be off the roads. so yes this will help in lowering pollution levels. #oddeven #arvindkejriwal #delhi #delhipollution",1,0.9992709755897522
