,Locations
2068,NOBODYCARES
2069,"Shahbad Markanda, Kurukshetra"
2070,"Sopore, Jammu And Kashmir"
2071,"Abu Dhabi, United Arab Emirate"
2072,Any Political Party's HQ
2073,"Rohini, New Delhi"
2074,"Sattur, Tamilnadu"
2075,"Siwan, Bihar"
2076,"Cuttack, India"
2077,Delhi » Dehradun » Pune
2078,Shri Ram ki bhumi bharat se
2079,"Nairobi, Kenya/Kutch Gujarat "
2080,bharuch
2081,Regrets
2082,"Naini Tal, India"
2083," Rajkot, Ahmadabad, Mumbai "
2084,New Delhi | Hong Kong
2085,"Ujjain,India"
2086,चाय कि टपरी
2087,Delhi - Kashmir
2088,Gurdaspur 
2089,Delhi girl in Mumbai
2090,Kolkata; West Bengal. India
2091,"मेरठ, भारत"
2092,borivali India
2093,"New Delhi, Kolkata"
2094,"Bharatpur, India"
2095,global
2096,StarGarage
2097,New-Delhi
2098,"Ghaziyabad, India"
2099,"Bilaspur, Chhattisgarh "
2100,"Surat/Pipavav/Bihar, India"
2101,"ÜT: 28.417011,77.063942"
2102,Hindutwa Nagar Se
2103,Only on Twitter !!
2104,Beijing
2105,लखनऊ
2106,Hindustan 
2107,Somewhere on planet Earth
2108,दिल्ली।
2109,"Khammam,india"
2110,I did not vote for Kejriwal
2111,Offline
2112,"Karnataka, India"
2113,Nirvana
2114,"Delhi, to India"
2115,"North Delhi, India"
2116,Ujjain Engineering College
2117,Patna-Pune
2118,Varanasi ll New Delhi
2119,Bollywood
2120,काशी
2121,NewDelhi
2122,Seventh Sky
2123,Asauni panna mp
2124,"New Delhi , Jammu , India"
2125,"Rajasthan , India"
2126,"Mirzapur, Varanasi, New Delhi"
2127,#Jaipur
2128,"Delhi ,Ncr"
2129,भारत # बागी बलिया 
2130,Rover
2131,"Delhi, INDIA "
2132,Nadiad
2133,Somewhere in your dreams
2134,"Chomu, Rajasthan"
2135,Earth.
2136,Mumbai india 
2137,"ÜT: 22.576554,88.410696"
2138,"New Delhi, India / Balasore"
2139,"Srikalahasti, India"
2140,Sivakasi 
2141,pta nhe 
2142,Ujjain
2143,ss Ppl than Srk
2144,हिन्दुस्थान
2145,Kashmir
2146,"Panditwari, Dehradun"
2147,New Delhi ✈Bhubaneswar 🚗Cuttack
2148,"Thyagaraya Nagar, Chennai"
2149,"Lucknow,India"
2150,Third planet from.the Sun 
2151,"Uttar Pradrsh, Gurgaon, India "
2152,kabarchha uchana jind 126115
2153,"Noida, Up, "
2154,India 🇮🇳 بھارت
2155,jammu and kashmir india
2156,Bombay High Court
2157,Rukundipur  / Ankleshwar
2158,theka aur thane!!
2159,जनकपुरधाम सीता माता जन्म स्थान
2160,at family's heart
2161,AMU Aligarh
2162,dreamland
2163,"""City of Nawabs"""
2164, In ur Minds
2165,"New Delhi,  🇮"
2166,LUDHIANA/BATALA
2167,"Rudrapur, Uttrakhand"
2168,Ayodhya to Delhi via Bareilly
2169,DELHI/UTTAR PRADESH
2170,IIT DELHI 
2171,Surat &Delhi
2172,मिथिलांचल
2173,Calcutta
2174,Aeroplane 
2175,New Delhi.
2176,"National Capital Region, India"
2177,bharat
2178,"New Delhi, Chennai"
2179,Aamchi Mumbai
2180,"Gurgaon, Haryana "
2181,on the way
2182,Chennai | Gurgaon
2183,"Delhi, NY"
2184,"Lucknow,UP, Republic Of India"
2185,Purnea and New Delhi
2186,COSMOS
2187,Aryåvarta
2188,Kolkata-Jalpaiguri
2189,"Mumbai, IN"
2190,"Ghaziabad, Uttar Pradesh"
2191,"Sangli-Miraj, India"
2192,"Mumbai,Maharastra"
2193,Meerut 
2194,"Saharsa, Bihar India"
2195,New Delhi-Lucknow
2196,pakistan chiniot
2197,"28.456679,77.095162"
2198,Dunya Ke Kisi Kone Me.
2199,Kolkata | Kullu
2200,"Sitapur, India"
2201,"जालोर, भारत ( मुम्बई )"
2202,ND
2203,33.88°N 74.92°E
2204,"Wisconsin, USA"
2205,Hyderabad  ✈ Delhi  ✈ Chennai
2206,"patna,india"
2207,"Bhubaneswar fuckin city, India"
2208,Tamilnadu
2209,Dehradun | Delhi | Bangalore
2210,"Buxar, India"
2211,Kolkata 
2212,Wherever my mobile is
2213,Kashmir - New Delhi
2214,"Coimbatore, Tamil Nadu."
2215,हिन्दुस्तान 
2216,"Mathura, India (ब्रजवासी)"
2217,"Purulia, India"
2218,हिंदुस्तानी
2219,LapataGanj
2220,BIL
2221,Uttarakhand ( INDIA )
2222,kanya kumari.
2223,New Delhi -  USA
2224,ECMA2030
2225,Namek
2226,Holyland
2227,Virtual
2228,"ÜT: 26.858205,75.802635"
2229,R
2230,Satwas
2231,"Wasington, DC, Turkey, Kashmir"
2232,Hell
2233,"बेगूसराय, Srilanka"
2234,பரமக்குடி
2235,Ghaziabad 
2236,Muzaffarabad
2237,"San Francisco, Chandigarh"
2238,Somewhere in Multiverse
2239,"New Delhi, I N D I A"
2240,Paris /Delhi
2241,Here and There
2242,NEW DELHI 
2243,"Kolhapur, Maharashtra"
2244,"Uppsala, Sweden"
2245,देसी ठेका 
2246,"Aya Nagar, New Delhi"
2247,Planet Earth 
2248,Khayaalo mein
2249,"Panipat, Delhi, India"
2250,Al Hilal - C Ring Road
2251,"भागलपुर, बिहार "
2252,"Sitapur, Uttar Pradesh"
2253,"San Francisco,Delhi,Dubai"
2254,Bassland @ India
2255,"Roorkee, India"
2256,Mumbai / New Delhi
2257,"DEORHI HINDU SINGH,AYODHYA, UP"
2258,Krypton World.
2259,punjab
2260,Marauder's map
2261,"Gorakhpur, Uttar Pradesh"
2262,"india, naam toh suna hoga"
2263,Utopia
2264,"Marattahalli, Bengaluru South"
2265,Ke karega jaanke!!!
2266,Delhi | New York
2267,"Delhi, Kolkata, Gopalganj"
2268,"Jammu & Kashmir, India"
2269,"Bhuj, India"
2270,"28.413128,77.320048"
2271,"Bihar, patna"
2272,"currently in Bengaluru, India"
2273,C4PF+HX 
2274,UAE 
2275,"guwahati,india"
2276,Apni Duniya Main Mast 
2277,"Hyderabad, the land of Nizams!"
2278,Rajysabha TV
2279,New Delhi/Varanasi/Gorakhpur
2280,"New Delhi,Prayagraaj,Gorakhpur"
2281,"M-22, Balochistan, India"
2282,Too alien to be Human.
2283,aage se right vaha se fuck off
2284,Del Haryana Uttarakhand Punjab
2285,"Delhi/Mumbai, India"
2286,"Tokyo-to, Japan"
2287,Nepal
2288,"New Delhi, India , "
2289,kashmir/New Delhi
2290,Ajmer Rajasthan
2291,ahead of the pack
2292,http://facebook.com/LDRforlife
2293,いんどちほー
2294,HYD/MAA/PNQ/DEL India 
2295,Hypothetically in Hyderabad
2296,New Delhi / Uttrakhand 
2297,BARODA
2298,"Greater Kailash, New Delhi"
2299,"Rajouri Garden, New Delhi"
2300,"Dli,Ind,Milkyway-near Andrmda"
2301,"Gujarat ,India"
2302,जज्बातों में 
2303, Ne
2304,The Great Bharat.
2305,WorldWide
2306,Sangam Vihar
2307,Delhi / Noida
2308,"Sonipat, Haryana"
2309,"Sion, Mumbai"
2310,Bul
2311,Goa 69
2312,San Francisco
2313,Everywhere At Once 
2314,You shouldn't care
2315,Nagarpalika
2316,Localhost
2317,"Pharenda, Maharajganj"
2318,"Bengaluru/Hangal, India"
2319,आपकी हँसी में
2320,"Vadodara, India"
2321,"Geeta Colony, New Delhi"
2322,"Davis, CA"
2323,"जय हिंद,जय महाराष्ट्र(मुंबईकर)"
2324,Dilli.
2325,shivpuri m p
2326,"Noida, Ghaziabad"
2327,"Chennai, TN, India"
2328,"Sopore, Delhi"
2329,HLD.Mukteshwar( Nainital)India
2330,San Fran to Gurgaon
2331,searching
2332,Nainital and New Delhi
2333,"UTTAR PRADESH, INDIA "
2334,"New Delhi, India , world "
2335,Noida- INDIA
2336,"New Delhi, UP, India"
2337,"Tamilnadu, India"
2338,"Bihar, India( پٹن بہار )"
2339,Jharkhand
2340,"NCR New Delhi, India"
2341,Zila Azamgarh
2342,"Journalist at PTI, New Delhi."
2343,भारत India
2344,Everywhere.
2345,"Darbhanga, Delhi, India"
2346,phone charging point 
2347,"Ghungru seth ki Nagri ,Delhi"
2348,Delhi/ Lucknow
2349,meerut
2350,Jaipur  ( वैसे हम भिंड के हैं
2351,"Colorado, USA"
2352, New delhi 
2353,"Sector 50, Noida"
2354,"Pune, Aurangabad "
2355,"SRK's ❤Heart Delhi, INDIA"
2356,"Bombay, India"
2357,"gαиgтσк, ѕιккιм"
2358,shuttling btwn TN-KL-KA-AP-TS
2359,"New Rajendra Nagar, New Delhi"
2360,Narlai to Mumbai via Jodhpur
2361,surat 
2362,Xiao Zhan ♡ Wang Yibo
2363,"Kolkata, West Bengal"
2364,"Hambantota, South af"
2365,"Cyber City, Gurgaon"
2366, Somewhere In (tolerant) India
2367,Karnataka 
2368,"MH 19 , India "
2369,"Damoh, India and mathura up"
2370,Dilli Se Hu 
2371,Bahraich
2372,"18.9750° N, 72.8258° E"
2373,"New delhi, Mumbai , India"
2374,"Jaipur, Jhunjhunu, Mandawa"
2375,"Aurangabad, India"
2376,"New Delhi, basti (up)"
2377,Abyss
2378,भारत माता के चरणों में।
2379,"Koraput, India"
2380,On Your Screen. 
2381,New Delhi / Maharajganj UP
2382,"Bulandshahr, u.p, India"
2383,Indus India
2384,Mumbai West 
2385,कासगंज उत्तर प्रदेश भारत
2386,GPS is off 
2387,New Delhi INDIA
2388,somwhere i can't be found
2389,ग्रामीण बिहार
2390,New Delhi | Nainital 
2391,ஆழ்வார்பேட்டை
2392,"Bhopal , New Delhi "
2393,Latur/Delhi
2394,"Sector 82, Gurgaon"
2395,India ke Dil m
2396,Delhi/Bombay
2397,the depths of sonipat
2398,New Delhi/ Bihar/ Jharkhand
2399,"Kolkata,  India"
2400,"Bengaluru, Mumbai, New Delhi"
2401,"Kanchipuram, Tamilnadu."
2402,#SouthAsia
2403,जामा मस्जिद की पीछे वाली गली 
2404,SAHARSA
2405,"ayodhya,india"
2406,Varanasi-J&K-Lucknow
2407,"chennai,India"
2408,"दिल्ली,"
2409,Delhi/Rio
2410,chakrata
2411,"Ajmer, India"
2412,"Davenport, IA"
2413,"Jind, India"
2414,Chicago
2415,"Delhi,Meerut, MZN, मोदीमय भारत"
2416,"Saharanpur (West UP), India"
2417,"Turin, Piedmont"
2418,"Shimla, HP  INDIA"
2419,Sultanpur  UP India
2420,"Uttaranchal, India"
2421,मुज़फ्फरपुर- मुंबई
2422,STUDIO PHOTOGRAPHER 
2423,Bang
2424,"Thanjavur, India"
2425,Hyderabad/Bengaluru sandulalla
2426,"Surjannager, Moradabad, 244602"
2427,Mumbai (From Bihar)
2428,"West Bengal, "
2429,/home/Bharat
2430,'हम भारत के लोग'
2431,"Mohali, India"
2432,scenery
2433,"NCR, India"
2434,Noida/Ajmer
2435,"सिंगापुर, भारत"
2436,"Karol Bagh, New Delhi"
2437,Democratic India
2438,Jim Corbett National Park
2439,Bombay Till I Die! 
2440,Jaipur india
2441,"New Delhi, Bharat"
2442,2
2443,Aruppukottai
2444,Hindu Republic of India
2445,"Darya ganj, delhi"
2446,"TamilNadu, India"
2447,BigBangWorld
2448,ಬೆಂಗಳೂರು 
2449,Europa league
2450,India - Bharat - Hindustan
2451,New Delhi/Kathmandu/Kapilvastu
2452,Arrakis
2453,Gurugram 
2454,"calicut,india"
2455,तन्हाई में...
2456,"Jalore,Rajasthan"
2457,"Bihar,jharkhand"
2458,Hyderabad Deccan Telangana 
2459,Twitter world
2460,Republic of Wadiya 
2461,India/UK/Bharat Rakshak
2462,Srinagar 
2463,jamnagar gujarat
2464,"25.251692,55.304635"
2465,Manipal | Singapore
2466,Northeast India
2467,"Azamgarh, India"
2468,"Bahadurgarh,India"
2469,"ÜT: 28.634087,77.364264"
2470,"Andhra Pradesh, India"
2471,Delhi se 
2472,finding self home
2473,"बरेली उत्तर प्रदेश, भारत"
2474,"Auckland, New Zealand"
2475,Cochin
2476,"ÜT: 28.496807,77.091135"
2477,रंग बिरंगे वहम
2478,Tardis
2479,Visakhapatnam.
2480,"Nellore, India"
2481,"Noida, New Delhi NCR"
2482,"Hisar, Haryana"
2483,"Vaishali, Ghaziabad"
2484,Jumlanagar
2485,"Palo Alto, CA"
2486,Sitapur/ Lucknow Uttar Pradesh
2487,Kurukshetra
2488,Heart of india(Delhi)
2489,Technology
2490,"Secunderabad, Hyderabad"
2491,"Bengaluru South, Karnataka"
2492,"Jaipur, India "
2493,Midgard
2494,"Patna, Bihar India"
2495,Non resident Bihari in Delhi
2496,"5 A, Raisina Road, New Delhi"
2497,"Phoenix, AZ"
2498,Pune/Kashmir
2499,#US #AP #TS #KA #India
2500,edinburgh
2501,apartheid state - India
2502,New Delhi | Hyderabad
2503,Online Only
2504,patna 
2505,Dubai-UAE / Mumbai-India
2506,The pathless land.
2507,"New York City, New York USA"
2508,Zenn-La
2509,planet earth
2510,"Scotland, UK - Groningen, NL"
2511,EARTH
2512,"Bath, UK"
2513,"Mason, OH"
2514,"Chicago, IL (South Side)"
2515,"Lotwara, Bandikui "
2516,"Wakefield, England"
2517,2 Ncondo Ridgeside Umhlanga 
2518,Ground zero
2519,"India, IG: Grouchy_Indian"
2520,Dar-ul-Harb
2521,India Karnataka
2522,FREEDOM
2523,Location: EARTH
2524,Asilpur meerut
2525,faizabad
2526,"West Bengal,India"
2527,chennai-INDIA 
2528,"Madhya Pradesh,India"
2529,ngal
2530,Mother Earth
2531,"From Hassan, Now in Bengaluru"
2532,"Delhi, india."
2533,"Beverley, United Kingdom"
2534,JAIPUR
2535,"Chatra, India"
2536,"ગુજરાત, भारत"
2537,Republic of the Philippines
2538,"Kalyan Dombivali, India"
2539,¡N m¥ o₩n dR€AM ₩♡Rld
2540, india
2541,"Jeddah,Mannarkkad,sk puram.."
2542,"Chennai, Earth 1610"
2543,"Sawai Madhopur, India"
2544,Wherever my phone is.
2545,"Jabalpur, Mp"
2546,"गुजरात, भारत "
2547,bharatvarsh
2548,"भारतवर्ष , गया"
2549,जयपुर  
2550,वॉर्डन रोड Mumbai / Mangaluru 
2551,somewhere only we know
2552,new Delhi
2553,Occupied Lenape territory
2554,"Anand, India"
2555,"கொட்டாம்பட்டி, மதுரைக்காரன்"
2556,"Mumbai, Maharashtra , India"
2557,Entire cosmos
2558,"VALSAD, GUJARAT, INDIA"
2559,"तीर्थराज ""प्रयागराज"""
2560,"(Varanasi),Delhi, Mumbai,India"
2561,kakori
2562,@Pawan Kalyan అడుగుజాడల్లో
2563,"New Delhi , India "
2564,Location Independent
2565,"Noida Sector 31, Noida"
2566,Mumbai/Delhi/Hyderabad
2567,"Aurangabad, Maharashtra, India"
2568,"Hyderabad, India "
2569,"𝐀𝐥𝐰𝐚𝐫, 𝐉𝐚𝐢𝐩𝐮𝐫 RAJ."
2570,"अंधेरगर्दी है बीजेपी राज में,,"
2571,Where I'M meant to be ..
2572,Who Cares
2573,Columbus Ohio
2574,Delhi / Shirdi
2575,Near to Humanity
2576,DC / Mid-Ohio Valley
2577,Paris old EU
2578,New England 
2579,Where sport happens.
2580,"Amethi, India"
2581,MP .INDIA
2582,"पटना,बिहार."
2583,SultanMeraki.com
2584,"Mumbai, Maharashtra, India"
2585,"Hyderabad, India. (from శ్రీకా"
2586,Somewhere in 'India'
2587,Secure 
2588,kannur
2589,"Ahmadabad City, Gujarat, india"
2590,"Mumbai, New Delhi"
2591,"Odisha, Bharat"
2592,village kakra muradnagr
2593,"Khairāgarh, Chhattīsgarh."
2594,Tamkuhiraj (up ) ✈ Bhopal (mp)
2595, इलाहाबाद भारत 
2596,Global 
2597,"Patna, bihar"
2598,Mumbai I India
2599,Patna/Delhi/London
2600,Ghar
2601,On the edge of the oblivion.
2602,Bangalore India
2603,"India, USA[+19176072915], SA"
2604,0100101001000100011111
2605,Baltimore & Paris
2606,Dumada Pisangan Ajmer 
2607,Georgia
2608,澳門
2609,Maharashtra
2610,"Pune, Maharashtra, India "
2611,Ghanta ghar
2612,india rajasthan jaipur
2613,Kailaasaa 
2614,"Bangalore, Delhi, Mumbai, Chennai, Hyderabad"
2615,"chohtan,barmer, rajsthan."
2616,"Espanola, New Mexico USA"
2617,University College London
2618,"Niagara, Ontario"
2619,Bahrain
2620,Czech Republic
2621,NYC
2622,"  patna बिहार, भारत"
2623,Identity crisis
2624,Pulkitstan
2625,Navi Dilli
2626,Anywhere and Everywhere!
2627,प्रय
2628,"Warrington, UK"
2629,#ImpeachmentTaskForce 
2630,"Rudrapur, India"
2631,"Nairobi, Kenya"
2632,Aurangabad
2633,Forest Of Albania
2634,City Of Dreams 
2635,"India, UK, Sweden, USA"
2636,New Delhi &  Jharkhand 
2637,"भारत, मध्य प्रदेश"
2638,"Bangalore, Mumbai, Delhi"
2639,"Hardoi, India"
2640,North of the Equator
2641,LUCKNOW
2642,Abu Dhabi
2643,Hamipur
2644,Berlin
2645,Universe of Women
2646,"Indore, Madhya Pradesh, India"
2647," Jamnagar, Gujarat, India"
2648,"Pen, India"
2649,"Malegaon, India"
2650,"20,000 residents in North Finchley promised a letter about a ""partnership board"" for it's demolition/regeneration. Pigs might fly too."
2651,"New Delhi , Gurgaon "
2652,Heisenberg's electron
2653,Kigali-Rwanda
2654,"Bonn, Jerman"
2655,"Vivek Khand, Gomati Nagar, Lucknow, Uttar Pradesh 226010. INDIA."
2656,"Indore , India."
2657,greater noida
2658,UP
2659,Nadiad | Vadodara Gujarat. IND
2660,"महाराष्ट्र, भारत"
2661,"India, Maharshra, Navi Mumbai"
2662,"London, England / Pune, IND"
2663,பூமி
2664,jalandhar
2665,JAJAPUR
2666,"Milan, Italy"
2667,California 
2668,"Kashipur, India"
2669,Magundi
2670,Mumbai & Goa
2671,surat gujrat
2672,Madras
2673,Mumbai/Chennai
2674,गतिमान रह
2675,Asansol
2676,"Munich, Bavaria"
2677,भारतीय
2678,koi Milne to 
2679,Patna india
2680,"Dubai, UAE"
2681,Allahabad/New Delhi/Mumbai
2682,Delhi - London -Isle of Man
2683,"Ghaziabad, Delhi,  India"
2684,दिल्ली
2685,"Andheri East, Mumbai"
2686,en route.. 
2687,In Hell created by RSS and TMC
2688,"Narnaul,GurgaonHR"
2689,a
2690,भारत/India
2691,"Delft, Nederland"
2692,भाजपा मुख्यालय। नई दिल्ली।
2693,Aust
2694,"New Delhi, Paris, Philadelphia"
2695,Australia
2696,"Naples, FL"
2697,narklok se do gali chodkr
2698,"Kandla, India"
2699,"Buffalo, NY"
2700,"pus, "
2701,"Howrah ,west bengal"
2702,Liepāja
2703,"London, mostly."
2704,"Waterloo, Ontario"
2705,UK / Worldwide 
2706,"Jersey City, NJ"
2707, Bangalore
2708,Panipat
2709,Union Territory of J&K
2710,"Chandigarh, new delhi,india"
2711,"City Beautiful,India"
2712, mp india
2713,A
2714,"Rajnandgaon, India"
2715,"Delhi ,India"
2716,location classified
2717,bengaluru
2718,"Planet Earth, Milky Way Galaxy"
2719,"Address: Bern, Switzerland"
2720,"Milano, Italy"
2721,"Khategaon, India"
2722,Bengaluru=ಬೆಂಗಳೂರು=Bangalore
2723,"Lucknow, Azamgarh "
2724,At an endangered place-Earth
2725,Bombay | Delhi
2726,"भारत, "
2727,"Gurgaon, Mumbai"
2728,kota
2729,Jammu&kashmir and Uttarakhand 
2730,Dharti
2731,"Vikaspuri, Delhi"
2732,City of London
2733,London | Cincinnati | Singapore
2734,"jhalawar , rajasthan"
2735,Bhopal 
2736,Platform Number 5
2737,Dark side of the moon
2738,"Chennai, Tamilnadu, India"
2739,"Johannesburg, South Africa"
2740,"Lucknow, Uttar Pradesh, India "
2741,varanasi
2742,"Lucknow, Barabanki, India"
2743,New Delhi / Shimla
2744,Dooars (North Bengal)
2745,near the charging point
2746,UT Jammu & Kashmir
2747,Navi Mumbai India
2748,Delhi and across Punjab
2749,"Ministry of Health, New Delhi"
2750,fairway.node.package
2751,Aukaat Mein
2752,www.aditigovitrikar.com
2753,"Ooty, India"
2754,Jodhpur Rajasthan
2755,"Abu Dhabi, UAE"
2756,Southern California
2757,"Srinagar, Kashmir"
2758,"Surrey, British Columbia"
2759,Bikaner(Rajasthan)
2760,"Dublin City, Ireland"
2761,"Chapra,Bihar,India"
2762,"India , हिंदुस्तान ,"
2763,"Jaipur, Rajasthan, India"
2764,"Berhampur Housingboard Colony,"
2765,Citizen of the world
2766,"29.0167° N, 77.3833° E"
2767,आर्यावत
2768,Bhopal (Madhya Pradesh) INDIA
2769,Thanjavur
2770,"shalimar bagh , New Delhi"
2771,"Mandi, India"
2772,रणों मे
2773,"Bhopal, Madhya Pradesh, India"
2774,New Yor
2775,India and the U.S.
2776,Great Britain
2777,Mumbai/India
2778,"Kannauj, Uttar Pradesh, India"
2779,"PURNEA,BIHAR"
2780,baghsara west
2781,"Hyderabad, India, Telangana"
2782,Truly on Earth 
2783,"Saifai, Etawah (India)"
2784,"Mumbai, Bom bae, London"
2785,"Lucknow, Uttar Pradesh"
2786,"Seohara, India"
2787,Lakhimpur Kheri
2788,"Ramakrishna Puram, New Delhi"
2789,"Kodagu, Karnataka, India"
2790,"Rolla, Sharjah, UAE"
2791,"Belgorod, Russia"
2792,"Mhow-Indore, Madhya Pradesh"
2793,"Delhi, Noida India"
2794,"Delhi & Mumbai, India"
2795,London and Bangalore
2796,Brahmaloka.
2797,"Abu Dhabi, United Arab Emirates"
2798,मिथिला
2799,Allahabad  ~ Tirupur 
2800,"देवरिया,उत्तर प्रदेश,भारत।"
2801,San Francisco Bay Area
2802,"Pune,Cuttack,Salipur,Odasingh,"
2803,Delhi/Ncr
2804,बेघर हू कोई अपने दिल में रखलो
2805,Kalmeshwar Nagpur
2806,In Search of Home
2807,Manipal
2808,somewhere on earth 
2809,Bombay Meri Jaan 
2810,"Peterborough, Ontario"
2811,"Nashik, India"
2812,"Canada, India, USA"
2813,A bit of wherever I've been 
2814,"Bihar ,India "
2815,Turned Off
2816,"Thiruvananthapuram, Kerala, In"
2817,hearts of my friends
2818,"Rae Bareily, India  ✈️ Bharuch"
2819,Gujarat  ➡️ Maharashtra 
2820,Veooz Labs Ltd.
2821,"Chicago, US"
2822, Punjab India
2823,"Ahmedabad,Gujarat,India"
2824,Between the lines…...
2825,"Madha, india."
2826,Erode
2827,"New Delhi, Delhi India"
2828,nowhere 
2829,"lucknow, INDIA "
2830,"Rajkot, Gujarat, India"
2831,katni.MP. India
2832,"Sector 142, Noida"
2833,mysore
2834,DELHI-DUBAI-NEW YORK
2835,http://127.0.0.1
2836,"budhwara,ajmer"
2837,Bharatbhumi 
2838,"Newfoundland and Labrador, Can"
2839,"Noida,India"
2840,Sweden/Melbourne/Bangalore
2841,bhubaneswar
2842,"Delhi, Mumbai "
2843,"Jodhpur,Rajasthan, India"
2844,Malana
2845,"Hollywood, Los Angeles"
2846,"Pune,India"
2847,shatruvula gundello
2848,Chaand pe hai apun
2849,SILCHAR
2850,Odisha India
2851,हिन्दुस्तान के दिल में
2852,realparvezsharma on instagram and parvez hussein sharma on fb
2853,"India ,Tamilnadu ,Salem"
2854,Outside Comfort Zone
2855,"Beijing, China"
2856,"sirsa, India"
2857,"Washington, DC, USA"
2858,"New Haven, CT"
2859,Durg Chhattisgarh
2860,"सेक्टर 14 पंजाब विश्वविद्यालय,"
2861,New Delhi । India
2862,DEL-LKO
2863,"Comox Valley, BC"
2864,Bharat ! ततः किम् 
2865,why?
2866,"fort area, mumbai"
2867,Bhopal Madhya Pradesh
2868,"India, UP"
2869,Surat
2870,gujarat
2871,Neemuch 
2872,Mumbai wen not globetrotting 
2873,patna
2874,"Gurdaspur, Panjab"
2875,"Bangalore, Karnataka, India"
2876,"India, Planet Earth"
2877,"Vista, CA"
2878,"U.P , Kanpur"
2879,"Chennai,Tirunelveli "
2880,bilaspur chhatisgarh
2881,"Delhi , bangalore "
2882,"HYDERABAD, (Bhagya-Nagaram)"
2883,"Anand, Gujarat"
2884,new delhi 
2885,BHOPAL INDIA
2886,भारत (I
2887,"Thiruvananthapuram,Kerala"
2888,"Rewari, India"
2889,"Bhadohi, India"
2890,"VNS , India"
2891,#MumbaiMeriJaan
2892,Nimach *भारत*
2893,Siliguri+West Bengal+India
2894,Kya karoge jaan kar? 
2895,"Luni Jodhpur, Rajasthan"
2896,"Gurgaon, India & Nagour (Raj)"
2897,"New delhi, India"
2898,"Tamkuhiraj, Noida, New Delhi, "
2899,Wanderlust 
2900,Hyderabad India​
2901,"Chhapra, Bihar, India"
2902,पूरा भारत ही हमा
2903,Great Mallu Land
2904,"Baliyasan, Mehasana, Gujarat"
2905,Newdelhi
2906,chennai_600021
2907,"Allahabad, India "
2908,"India , kerala"
2909,पुणे
2910,Chamba(Himachal pradesh)
2911,Thiruvananthapuram
2912,Bharath (India)
2913,"Chennai,TamilNadu,India"
2914,"Madurai,Sivaganga,Tamilnadu IN"
2915,हिन्दु
2916,Lost in a sea of pa
2917,"पाटलिपुत्र,मगध,भारतवर्ष"
2918,Shimoga
2919,"Harda, Madhyapradesh  India"
2920,"Kuala Lumpur, Malaysia"
2921,"Burdman, W.B"
2922,Air
2923,Bangalore/Dehradun
2924,El Dorado 
2925,राष्ट्रीय राजधानी क्षेत्र
2926,भारत (बुंदेल
2927,"Ahmedabad n Kutch ,"
2928,UT of Jammu & K
2929,"bangalore, mangaluru"
2930,इंडिया
2931,"Dahod, Gujarat, India"
2932,"Toronto, Ontario | New Delhi, India"
2933,"Tehri Garhwal,Uttarakhand"
2934,Nazistan
2935,Somewhere On Earth
2936,Indore.journalist
2937," Badlpur Jaunpur, India"
2938,"Asansol, India"
2939,"vadodara ,Gujarat, India"
2940,"Kushinagar, India"
2941,"Hyderabad,Tela"
2942,"Uttarakhand,India"
2943,उत्तर प्रदेश 
2944,"Colombo, Sri lanka"
2945,India.     
2946,parallel Universe
2947,Singapore / New Delhi
2948,"Colombo, Sri Lanka"
2949,"Jaipur,Rajasthan"
2950,"IN, SG, PH, ID, BR"
2951,एक भारत श्रेष्ठ
2952,Mood
2953,Prayagraj to Rajkot
2954,Lucknow India
2955,"Ranchi, Jharkhand"
2956,"indore, india"
2957,"New Delhi,INDIA"
2958,पनचर वाली गली
2959,"Aligarh, India"
2960,"Sec14, Rohini, New Delhi"
2961,Tweets on #Asia & USA  
2962,home is every where
2963,"Mars, Solar system"
2964,"A-78, Sector-49, Noida"
2965,पौड़ी गढ़वाल वाले
2966,Here!
2967,HISAR
2968,"JH Capital Ranchi,India"
2969,"कलियर शरीफ,हरिद्वार रुडकी भारत"
2970,Hyderbad
2971,Srinagar Jammu and Kashmir 
2972,जयपुर राजस्थान
2973,தமிழ்நாடு 
2974,"मुंब्रा, नवी मुंबई"
2975,muzaffarnagar
2976,"Dilli,Manipur,Northeast India"
2977,bhaad me
2978,"Tampa, Fl"
2979,Pendra Road India
2980,"Nilgiris, India"
2981,"Allahabad,India"
2982,"Hyderabad and Delhi, India"
2983,New Delhi : India
2984,यहाँ पर 
2985,Coimbatore √
2986,"Balochistan , Pakistan"
2987,Rajapalayam
2988,Muzaffarnagar
2989,Hazaribag
2990,Palanpur
2991,All Across India
2992,Nainital Uttarakhand 
2993,CONGRESS WORKER INC 
2994,Mirzapur
2995,"Lower Parel, Mumbai"
2996,New Delhi/Calcutta/Patna
2997,Pulwama Kashmir 
2998,Pune & Aamchi Mumbai
2999,Parliament of India
3000,Doha 
3001,Hyderabad India 
3002,"Sirohi,Rajasthan"
3003,Kumari Nadu - 9000 BCE 
3004,VASAI
3005,"Québec, C"
3006,Nagpur/Delhi/Bombay
3007,"Ambedkarnagar, Uttar Pradesh"
3008,"7th Floor, Brilliant Platina, Plot No. 8, Scheme No. 78, Part-2, Behind Life Care Hospital Indore, India"
3009,Nawada ballia 
3010,delhi ncr 
3011,#India
3012,"Santha, "
3013,Nashik Road
3014,"Nohar, Rajasthan, India"
